feeder,network_name,scenario_id,converged,load_scale,pv_penetration,ev_scale,pv_buses,min_vm_pu,max_vm_pu,violation_any,error
33,case33bw,0,True,1.1917692339891743,0.6,0.1,"[20, 4, 14, 17, 15, 26, 19, 22]",0.9254518603329043,1.0002195962091334,True,
33,case33bw,1,True,0.9603899391791318,0.4,0.0,"[10, 19, 2, 29, 22, 26, 14, 28]",0.9424054636822744,1.0,True,
33,case33bw,2,True,0.7580026444472835,0.6,0.2,"[6, 15, 12, 11, 30, 4, 13, 21]",0.9631601737299131,1.0,False,
33,case33bw,3,True,1.1401855714015745,0.2,0.1,"[26, 17, 18, 6, 4, 24, 25, 1]",0.9113076537814656,1.0,True,
33,case33bw,4,True,0.971241042876838,0.6,0.2,"[21, 32, 18, 15, 17, 3, 30, 19]",0.9526741545057086,1.001193024840716,False,
33,case33bw,5,True,0.8002092709736705,0.4,0.1,"[12, 17, 8, 4, 32, 25, 18, 16]",0.953155753562895,1.0,False,
33,case33bw,6,True,0.6658984511937024,0.2,0.0,"[12, 4, 8, 13, 5, 14, 29, 19]",0.9532464358135093,1.0,False,
33,case33bw,7,True,0.7326041314843608,0.4,0.3,"[9, 14, 27, 7, 3, 30, 23, 20]",0.9548785769001107,1.0,False,
33,case33bw,8,True,0.8641696369054568,0.8,0.2,"[9, 21, 29, 32, 4, 17, 3, 11]",0.9725258005108472,1.0000646669093636,False,
33,case33bw,9,True,0.8809028486329498,0.6,0.0,"[12, 29, 15, 18, 9, 1, 10, 5]",0.9542288866585289,1.0,False,
33,case33bw,10,True,0.9906608315867123,0.6,0.1,"[13, 15, 24, 12, 27, 30, 9, 1]",0.9531535570464031,1.0,False,
33,case33bw,11,True,0.7260030187948106,0.6,0.2,"[3, 8, 5, 2, 16, 25, 28, 7]",0.9639934052909138,1.0,False,
33,case33bw,12,True,0.8719972249759008,0.2,0.3,"[2, 14, 31, 9, 30, 13, 5, 32]",0.9393139699695704,1.0,True,
33,case33bw,13,True,1.0132008522705145,0.4,0.1,"[10, 1, 8, 31, 29, 28, 2, 19]",0.93330746322313,1.0,True,
33,case33bw,14,True,1.0695679540645906,0.6,0.3,"[4, 9, 27, 8, 6, 1, 13, 12]",0.9416135526650881,1.0,True,
33,case33bw,15,True,1.1359837049500205,0.8,0.2,"[16, 12, 13, 29, 3, 32, 4, 27]",0.9734393037248811,1.0,False,
33,case33bw,16,True,0.8505123588174386,0.8,0.3,"[4, 19, 1, 20, 12, 29, 5, 6]",0.957351143109368,1.002611273469186,False,
33,case33bw,17,True,0.6624857487838914,0.6,0.0,"[18, 25, 22, 9, 16, 4, 13, 24]",0.9604547404688893,1.0,False,
33,case33bw,18,True,0.9677278174534099,0.6,0.0,"[32, 6, 13, 11, 5, 2, 26, 17]",0.9575364430371994,1.0,False,
33,case33bw,19,True,0.8493040576365549,0.6,0.0,"[2, 12, 27, 20, 25, 15, 13, 16]",0.9548196838503439,1.0,False,
33,case33bw,20,True,0.6804325434089544,0.4,0.0,"[1, 27, 16, 26, 11, 3, 2, 4]",0.9563846302541013,1.0,False,
33,case33bw,21,True,1.240502466118427,0.8,0.3,"[20, 16, 32, 26, 24, 4, 10, 31]",0.9616985094730591,1.0,False,
33,case33bw,22,True,0.8365243222505923,0.2,0.0,"[20, 10, 8, 12, 13, 22, 6, 9]",0.938662847895674,1.0,True,
