load_relief,pv_curtail,available_pv_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw,action_cost_proxy_mw,violating_buses,violating_scenario,min_vm_pu,max_vm_pu,feeder,scenario_id,seed
0.0,0.0,0.86039472141936,0.86039472141936,0.0,0.0,0.0,21,1,0.9113076537814656,1.0,33,3,7
0.0,0.1,0.86039472141936,0.774355249277424,0.08603947214193601,0.0,0.08603947214193601,21,1,0.9104112915966659,1.0,33,3,7
0.0,0.2,0.86039472141936,0.688315777135488,0.17207894428387202,0.0,0.17207894428387202,21,1,0.9095125793019099,1.0,33,3,7
0.1,0.0,0.86039472141936,0.86039472141936,0.0,0.4301973607096799,0.4301973607096799,17,1,0.9217795596322704,1.0,33,3,7
0.1,0.1,0.86039472141936,0.774355249277424,0.08603947214193601,0.4301973607096799,0.5162368328516159,17,1,0.9209019077901868,1.0,33,3,7
0.1,0.2,0.86039472141936,0.688315777135488,0.17207894428387202,0.4301973607096799,0.6022763049935519,18,1,0.9200220397121902,1.0,33,3,7
0.2,0.0,0.86039472141936,0.86039472141936,0.0,0.8603947214193598,0.8603947214193598,16,1,0.9320334897972561,1.0,33,3,7
0.2,0.1,0.86039472141936,0.774355249277424,0.08603947214193601,0.8603947214193598,0.9464341935612958,16,1,0.931173371886033,1.0,33,3,7
0.2,0.2,0.86039472141936,0.688315777135488,0.17207894428387202,0.8603947214193598,1.0324736657032318,16,1,0.9303111583322177,1.0,33,3,7
0.0,0.0,1.6688313766715581,1.6688313766715581,0.0,0.0,0.0,0,0,0.9639934052909138,1.0,33,11,7
0.0,0.1,1.6688313766715581,1.5019482390044023,0.16688313766715582,0.0,0.16688313766715582,0,0,0.9616636699214509,1.0,33,11,7
0.0,0.2,1.6688313766715581,1.3350651013372465,0.33376627533431164,0.0,0.33376627533431164,0,0,0.9593202754176641,1.0,33,11,7
0.1,0.0,1.6688313766715581,1.6688313766715581,0.0,0.278138562778593,0.278138562778593,0,0,0.9700248447782854,1.0,33,11,7
0.1,0.1,1.6688313766715581,1.5019482390044023,0.16688313766715582,0.278138562778593,0.44502170044574885,0,0,0.9677206886995182,1.0,33,11,7
0.1,0.2,1.6688313766715581,1.3350651013372465,0.33376627533431164,0.278138562778593,0.6119048381129046,0,0,0.965403283644217,1.0,33,11,7
0.2,0.0,1.6688313766715581,1.6688313766715581,0.0,0.556277125557186,0.556277125557186,0,0,0.9759899282467654,1.0,33,11,7
0.2,0.1,1.6688313766715581,1.5019482390044023,0.16688313766715582,0.556277125557186,0.7231602632243418,0,0,0.9737104963414656,1.0,33,11,7
0.2,0.2,1.6688313766715581,1.3350651013372465,0.33376627533431164,0.556277125557186,0.8900434008914977,0,0,0.9714182038103301,1.0,33,11,7
0.0,0.0,1.5291417237626397,1.5291417237626397,0.0,0.0,0.0,14,1,0.9333074632231335,1.0,33,13,7
0.0,0.1,1.5291417237626397,1.3762275513863758,0.15291417237626398,0.0,0.15291417237626398,14,1,0.9310976695674658,1.0,33,13,7
0.0,0.2,1.5291417237626397,1.2233133790101118,0.30582834475252796,0.0,0.30582834475252796,16,1,0.9288745469156825,1.0,33,13,7
0.1,0.0,1.5291417237626397,1.5291417237626397,0.0,0.38228543094066003,0.38228543094066003,6,1,0.9425325194843568,1.0,33,13,7
0.1,0.1,1.5291417237626397,1.3762275513863758,0.15291417237626398,0.38228543094066003,0.535199603316924,9,1,0.9403616289621055,1.0,33,13,7
0.1,0.2,1.5291417237626397,1.2233133790101118,0.30582834475252796,0.38228543094066003,0.688113775693188,10,1,0.9381780353146735,1.0,33,13,7
0.2,0.0,1.5291417237626397,1.5291417237626397,0.0,0.7645708618813201,0.7645708618813201,0,0,0.9516015922121233,1.0,33,13,7
0.2,0.1,1.5291417237626397,1.3762275513863758,0.15291417237626398,0.7645708618813201,0.917485034257584,2,1,0.9494676099206428,1.0,33,13,7
0.2,0.2,1.5291417237626397,1.2233133790101118,0.30582834475252796,0.7645708618813201,1.070399206633848,3,1,0.9473214999408878,1.0,33,13,7
0.0,0.0,1.4766807340392936,1.4766807340392936,0.0,0.0,0.0,0,0,0.9604547404688929,1.0,33,17,7
0.0,0.1,1.4766807340392936,1.3290126606353643,0.14766807340392937,0.0,0.14766807340392937,0,0,0.9590715214914417,1.0,33,17,7
