load_relief,pv_curtail,available_pv_mw,accepted_pv_mw,curtailed_pv_mw,relieved_load_mw,action_cost_proxy_mw,violating_buses,violating_scenario,min_vm_pu,max_vm_pu,feeder,scenario_id
0.0,0.0,0.86039472141936,0.86039472141936,0.0,0.0,0.0,21,1,0.9113076537814656,1.0,33,3
0.0,0.1,0.86039472141936,0.774355249277424,0.08603947214193601,0.0,0.08603947214193601,21,1,0.9104112915966659,1.0,33,3
0.0,0.2,0.86039472141936,0.688315777135488,0.17207894428387202,0.0,0.17207894428387202,21,1,0.9095125793019099,1.0,33,3
0.1,0.0,0.86039472141936,0.86039472141936,0.0,0.4301973607096799,0.4301973607096799,17,1,0.9217795596322704,1.0,33,3
0.1,0.1,0.86039472141936,0.774355249277424,0.08603947214193601,0.4301973607096799,0.5162368328516159,17,1,0.9209019077901868,1.0,33,3
0.1,0.2,0.86039472141936,0.688315777135488,0.17207894428387202,0.4301973607096799,0.6022763049935519,18,1,0.9200220397121902,1.0,33,3
0.2,0.0,0.86039472141936,0.86039472141936,0.0,0.8603947214193598,0.8603947214193598,16,1,0.9320334897972561,1.0,33,3
0.2,0.1,0.86039472141936,0.774355249277424,0.08603947214193601,0.8603947214193598,0.9464341935612958,16,1,0.931173371886033,1.0,33,3
0.2,0.2,0.86039472141936,0.688315777135488,0.17207894428387202,0.8603947214193598,1.0324736657032318,16,1,0.9303111583322177,1.0,33,3
0.0,0.0,1.6688313766715581,1.6688313766715581,0.0,0.0,0.0,0,0,0.9639934052909138,1.0,33,11
0.0,0.1,1.6688313766715581,1.5019482390044023,0.16688313766715582,0.0,0.16688313766715582,0,0,0.9616636699214509,1.0,33,11
0.0,0.2,1.6688313766715581,1.3350651013372465,0.33376627533431164,0.0,0.33376627533431164,0,0,0.9593202754176641,1.0,33,11
0.1,0.0,1.6688313766715581,1.6688313766715581,0.0,0.278138562778593,0.278138562778593,0,0,0.9700248447782854,1.0,33,11
0.1,0.1,1.6688313766715581,1.5019482390044023,0.16688313766715582,0.278138562778593,0.44502170044574885,0,0,0.9677206886995182,1.0,33,11
