method,conformal_variant,feeder,scenario_id,actual_risky,actual_severity,predicted_risky,risk_score,mean_interval_width
Boosting point + global conformal,global,33,3,True,0.038692346218534346,True,0.03875703588989554,0.0010963713147436117
Boosting point + global conformal,global,33,11,False,0.0,False,0.0,0.0010963713147436084
Boosting point + global conformal,global,33,13,True,0.016692536776869993,True,0.0175452472841906,0.0010963713147436084
Boosting point + global conformal,global,33,17,False,0.0,False,0.0,0.0010963713147436117
Boosting point + global conformal,global,33,18,False,0.0,False,0.0,0.001096371314743605
Boosting point + global conformal,global,33,22,True,0.011337152104325954,True,0.012366070427777709,0.0010963713147436084
Boosting point + global conformal,global,33,27,True,0.016808896393096795,True,0.017506494576678966,0.0010963713147436084
Boosting point + global conformal,global,33,31,False,0.0,False,0.0,0.0010963713147436151
Boosting point + global conformal,global,33,38,False,0.0,False,0.0,0.001096371314743605
Boosting point + global conformal,global,33,47,True,0.014656298958531377,True,0.015695652578754937,0.0010963713147436117
Boosting point + global conformal,global,33,52,True,0.011871565087809177,True,0.012475841817924938,0.0010963713147436151
Boosting point + global conformal,global,33,59,True,0.033650301381847325,True,0.033339112757238554,0.0010963713147436117
Boosting point + global conformal,global,33,72,True,0.008393634612990808,True,0.008616435373139164,0.0010963713147436015
Boosting point + global conformal,global,33,84,True,0.01270391124864556,True,0.013475797619065921,0.0010963713147436084
Boosting point + global conformal,global,33,86,False,0.0,False,0.0,0.0010963713147436117
Boosting point + global conformal,global,33,94,True,0.02444562407542472,True,0.025091727579412915,0.0010963713147436117
Boosting point + global conformal,global,33,95,True,0.038676015942889164,True,0.038839547853275924,0.0010963713147436084
Boosting point + global conformal,global,33,104,False,0.0,False,0.0,0.001096371314743605
Boosting point + global conformal,global,33,105,False,0.0,False,0.0,0.0010963713147436151
Boosting point + global conformal,global,33,112,True,0.019235647168562964,True,0.01994555909082074,0.001096371314743605
Boosting point + global conformal,global,33,116,True,0.018463958446187534,True,0.018638733820049325,0.0010963713147436084
Boosting point + global conformal,global,33,122,True,0.0469148579572215,True,0.04637374827564311,0.0010963713147436084
Boosting point + global conformal,global,33,124,True,0.039470401137468136,True,0.038946484560076766,0.0010963713147436015
Boosting point + global conformal,global,33,128,False,0.0,True,0.00015676519222795893,0.001096371314743605
Boosting point + global conformal,global,33,131,True,0.00677019117146016,True,0.007347274707851903,0.0010963713147435982
Boosting point + global conformal,global,33,133,True,0.04918142764509359,True,0.048319706416311115,0.0010963713147436184
Boosting point + global conformal,global,33,134,True,0.01099436288627198,True,0.012366070427777709,0.0010963713147436117
Boosting point + global conformal,global,33,135,True,0.011307379269138162,True,0.012373150812016176,0.0010963713147436084
Boosting point + global conformal,global,33,136,True,0.031103667653855194,True,0.031232199446226905,0.0010963713147436151
Boosting point + global conformal,global,33,137,True,0.011884695430436132,True,0.012511408458799944,0.001096371314743605
Boosting point + global conformal,global,33,139,True,0.00037938127207870487,True,0.0009645123800767763,0.0010963713147436184
Boosting point + global conformal,global,33,141,True,0.0031504962588355667,True,0.0038296888082995917,0.0010963713147436184
Boosting point + global conformal,global,33,143,True,0.036766874169016805,True,0.03651977176316157,0.001096371314743605
Boosting point + global conformal,global,33,149,True,0.006687178681784922,True,0.007392148036064916,0.0010963713147436151
Boosting point + global conformal,global,33,153,True,0.03368624297842071,True,0.0337873511841531,0.001096371314743605
Boosting point + global conformal,global,33,159,True,0.011440370221333929,True,0.012617281416177573,0.0010963713147436084
Boosting point + global conformal,global,33,161,True,0.036158120205819544,True,0.03651977176316157,0.0010963713147436084
Boosting point + global conformal,global,33,162,True,0.005331810194804332,True,0.005323027518294721,0.0010963713147436151
Boosting point + global conformal,global,33,170,True,0.045720053875062394,True,0.04416004029007914,0.0010963713147436219
Boosting point + global conformal,global,33,178,False,0.0,False,0.0,0.0010963713147436219
Boosting point + global conformal,global,33,180,True,0.004617273462513949,True,0.004827641255587101,0.0010963713147436015
Boosting point + global conformal,global,33,199,True,0.019298660816306157,True,0.020069828012223123,0.0010963713147436015
Boosting point + global conformal,global,33,200,True,0.05109693067283794,True,0.05430267159485236,0.0010963713147436184
Boosting point + global conformal,global,33,201,False,0.0,False,0.0,0.0010963713147436084
Boosting point + global conformal,global,33,206,True,0.017061066549777126,True,0.01757199455587355,0.0010963713147436084
Boosting point + global conformal,global,33,213,False,0.0,False,0.0,0.001096371314743605
Boosting point + global conformal,global,33,215,True,0.006058607941154759,True,0.006582207446579558,0.0010963713147436015
Boosting point + global conformal,global,33,221,False,0.0,False,0.0,0.001096371314743625
Boosting point + global conformal,global,33,233,True,0.0018908650930147264,True,0.002239531593966948,0.0010963713147436084
Boosting point + global conformal,global,33,235,False,0.0,False,0.0,0.0010963713147436117
Boosting point + global conformal,global,33,236,True,0.022651198538079398,True,0.022771581650208983,0.0010963713147436015
Boosting point + global conformal,global,33,238,False,0.0,False,0.0,0.001096371314743605
Boosting point + global conformal,global,33,240,True,0.012393327849347102,True,0.013355266392029552,0.0010963713147436151
Boosting point + global conformal,global,33,243,True,0.022769921815045113,True,0.023659573907121922,0.0010963713147436117
Boosting point + global conformal,global,33,244,True,0.027255900370916963,True,0.028100075471812147,0.001096371314743605
Boosting point + global conformal,global,33,260,False,0.0,False,0.0,0.0010963713147436151
Boosting point + global conformal,global,33,264,True,0.002115469348031196,True,0.002354096619167745,0.0010963713147436084
Boosting point + global conformal,global,33,285,True,0.021414872314725608,True,0.021805343170266722,0.0010963713147436084
Boosting point + global conformal,global,33,289,False,0.0,False,0.0,0.0010963713147436117
Boosting point + global conformal,global,33,292,False,0.0,False,0.0,0.0010963713147436184
Boosting point + global conformal,global,69,4,False,0.0,False,0.0,0.0010963713147436097
Boosting point + global conformal,global,69,5,True,0.026533960110384558,True,0.027228043089007947,0.0010963713147436307
Boosting point + global conformal,global,69,16,False,0.0,False,0.0,0.00109637131474365
Boosting point + global conformal,global,69,17,True,0.008523075012713766,True,0.009176715921290324,0.001096371314743613
Boosting point + global conformal,global,69,20,True,0.036180520043688325,True,0.03686912897522554,0.0010963713147436242
Boosting point + global conformal,global,69,22,True,0.016169963797007525,True,0.01678060703402917,0.001096371314743613
Boosting point + global conformal,global,69,27,True,0.016424781172512337,True,0.01678060703402917,0.0010963713147436162
Boosting point + global conformal,global,69,28,True,0.029640660066541535,True,0.028796732347449172,0.0010963713147436806
Boosting point + global conformal,global,69,34,False,0.0,False,0.0,0.0010963713147436951
Boosting point + global conformal,global,69,38,True,0.007515034410581545,True,0.007525059502735187,0.0010963713147436323
Boosting point + global conformal,global,69,40,True,0.00827330884266575,True,0.008451584525144717,0.001096371314743666
Boosting point + global conformal,global,69,42,True,0.020352671895895957,True,0.020270230036453563,0.0010963713147436275
Boosting point + global conformal,global,69,50,True,0.0009202685623123097,True,0.0013810818994607343,0.001096371314743634
Boosting point + global conformal,global,69,73,True,0.02089815597642697,True,0.020408302720896776,0.0010963713147436516
Boosting point + global conformal,global,69,84,True,0.023512067032276374,True,0.024079920241717345,0.001096371314743629
Boosting point + global conformal,global,69,88,True,0.006460895883016349,True,0.006756678715317155,0.0010963713147436355
Boosting point + global conformal,global,69,99,False,0.0,False,0.0,0.0010963713147436355
Boosting point + global conformal,global,69,101,True,0.002243857283542927,True,0.0021260888777847597,0.0010963713147436613
Boosting point + global conformal,global,69,102,True,0.04658180227495656,True,0.04520714902135692,0.001096371314743634
Boosting point + global conformal,global,69,108,True,0.024259165270435923,True,0.024079920241717345,0.001096371314743613
Boosting point + global conformal,global,69,116,True,0.06368595690228651,True,0.06315504499341718,0.0010963713147436082
Boosting point + global conformal,global,69,118,True,0.0186926620038258,True,0.019134028747526344,0.001096371314743642
Boosting point + global conformal,global,69,120,False,0.0,False,0.0,0.0010963713147436774
Boosting point + global conformal,global,69,122,False,0.0,False,0.0,0.0010963713147436388
Boosting point + global conformal,global,69,126,True,0.025803969625426304,True,0.02560892695261796,0.001096371314743634
Boosting point + global conformal,global,69,127,True,0.041961427733223755,True,0.042269694403209934,0.0010963713147436177
Boosting point + global conformal,global,69,133,True,0.009546470443050348,True,0.009232777904654377,0.0010963713147436548
Boosting point + global conformal,global,69,136,True,0.051365388443198046,True,0.04859915654184055,0.001096371314743613
Boosting point + global conformal,global,69,144,True,0.049768297807567086,True,0.048123972690756744,0.0010963713147436355
Boosting point + global conformal,global,69,147,True,0.02492844058111554,True,0.02416630991832558,0.0010963713147436483
Boosting point + global conformal,global,69,156,True,0.00398337085654199,True,0.003985652346753188,0.0010963713147436468
Boosting point + global conformal,global,69,158,True,0.020331387185619,True,0.020445878375126347,0.0010963713147436162
Boosting point + global conformal,global,69,164,True,0.027021117675732342,True,0.027228043089007947,0.0010963713147436177
Boosting point + global conformal,global,69,168,True,0.058735724115356214,True,0.06286730400687979,0.0010963713147436097
Boosting point + global conformal,global,69,194,True,0.006717055964316709,True,0.006812740698681319,0.0010963713147436323
Boosting point + global conformal,global,69,197,True,0.01288721712694596,True,0.013430929334376729,0.0010963713147436483
Boosting point + global conformal,global,69,200,True,0.005583425503271178,True,0.006001449279391502,0.0010963713147436147
Boosting point + global conformal,global,69,201,True,0.0017837655017699516,True,0.001917229136800369,0.001096371314743687
Boosting point + global conformal,global,69,205,True,0.0472506354617902,True,0.04833638288126152,0.0010963713147436147
Boosting point + global conformal,global,69,206,True,0.0068932575167269805,True,0.007486342307580718,0.0010963713147436227
Boosting point + global conformal,global,69,209,True,0.037930703915716735,True,0.0367728440590076,0.0010963713147436242
Boosting point + global conformal,global,69,210,True,0.032779711683192714,True,0.03183720694166481,0.0010963713147436676
Boosting point + global conformal,global,69,214,False,0.0,False,0.0,0.0010963713147436548
Boosting point + global conformal,global,69,218,True,0.00631836337666436,True,0.006901175020704309,0.0010963713147436275
Boosting point + global conformal,global,69,230,False,0.0,False,0.0,0.001096371314743642
Boosting point + global conformal,global,69,235,True,0.01023899106766235,True,0.010268691708844147,0.0010963713147436323
Boosting point + global conformal,global,69,244,True,0.021236828157674803,True,0.021800893971738344,0.0010963713147436355
Boosting point + global conformal,global,69,251,True,0.037656971701869546,True,0.03809816742986638,0.0010963713147436323
Boosting point + global conformal,global,69,254,True,0.0637766086676218,True,0.06331201190731983,0.0010963713147436114
Boosting point + global conformal,global,69,257,True,0.0038091011661567364,True,0.003985652346753188,0.0010963713147436548
Boosting point + global conformal,global,69,268,True,0.047714612195622785,True,0.04829347655068672,0.0010963713147436195
Boosting point + global conformal,global,69,269,True,0.04575556616930054,True,0.04531062403223052,0.0010963713147436227
